IDCode,gmm_bic_best_label,gmm_aic_best_label,narrative_best_label,narrative_text
pubu440,2,1,7,"The student answered 57 items with low accuracy (36.84% proportion correct). Their responses are fast on average (mean response time 9.18 seconds) and stable in timing (response-time variance 69.92, coefficient of variation 0.91). They have a short longest correct streak (7 in a row) and a long longest incorrect streak (13 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.23). They have subject marks: S1=3, S2=16, S3=2, S5=3, S6=0 and overall missingness 12.16%."
hyfe498,4,4,7,"The student answered 57 items with low accuracy (54.39% proportion correct). Their responses are fast on average (mean response time 11.39 seconds) and stable in timing (response-time variance 84.02, coefficient of variation 0.80). They have a short longest correct streak (8 in a row) and a long longest incorrect streak (12 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.41). They have subject marks: S1=10, S2=20, S3=3, S5=4, S6=3 and overall missingness 26.05%."
puca767,3,0,8,"The student answered 57 items with medium accuracy (73.68% proportion correct). Their responses are slow on average (mean response time 20.40 seconds) and highly variable in timing (response-time variance 389.29, coefficient of variation 0.97). They have a moderate longest correct streak (13 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55). They have subject marks: S1=11, S2=26, S3=4, S5=5, S6=5 and overall missingness 0.00%."
wyva352,5,0,8,"The student answered 57 items with medium accuracy (77.19% proportion correct). Their responses are slow on average (mean response time 28.06 seconds) and highly variable in timing (response-time variance 588.14, coefficient of variation 0.86). They have a moderate longest correct streak (15 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.62). They have subject marks: S1=11, S2=26, S3=5, S5=7, S6=4 and overall missingness 0.00%."
zywy107,0,5,8,"The student answered 57 items with medium accuracy (66.67% proportion correct). Their responses are slow on average (mean response time 20.81 seconds) and highly variable in timing (response-time variance 414.53, coefficient of variation 0.98). They have a short longest correct streak (11 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.52). They have subject marks: S1=8, S2=30, S3=5, S5=1, S6=2 and overall missingness 0.00%."
core934,0,0,8,"The student answered 57 items with medium accuracy (70.18% proportion correct). Their responses are slow on average (mean response time 22.56 seconds) and highly variable in timing (response-time variance 622.21, coefficient of variation 1.11). They have a moderate longest correct streak (13 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55). They have subject marks: S1=9, S2=25, S3=5, S5=6, S6=4 and overall missingness 1.74%."
jufy997,5,7,8,"The student answered 57 items with medium accuracy (84.21% proportion correct). Their responses are slow on average (mean response time 19.74 seconds) and highly variable in timing (response-time variance 990.17, coefficient of variation 1.59). They have a moderate longest correct streak (16 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75). They have subject marks: S1=10, S2=31, S3=5, S5=6, S6=5 and overall missingness 0.00%."
feqy379,3,9,9,"The student answered 57 items with medium accuracy (78.95% proportion correct). Their responses are moderate on average (mean response time 16.29 seconds) and stable in timing (response-time variance 154.48, coefficient of variation 0.76). They have a long longest correct streak (20 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.68). They have subject marks: S1=11, S2=27, S3=5, S5=5, S6=6 and overall missingness 0.00%."
zyvo780,3,6,9,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are moderate on average (mean response time 16.27 seconds) and stable in timing (response-time variance 128.56, coefficient of variation 0.70). They have a long longest correct streak (21 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71). They have subject marks: S1=12, S2=32, S3=5, S5=5, S6=5 and overall missingness 0.00%."
sila763,1,6,9,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are moderate on average (mean response time 16.14 seconds) and stable in timing (response-time variance 135.01, coefficient of variation 0.72). They have a long longest correct streak (30 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70). They have subject marks: S1=13, S2=30, S3=4, S5=7, S6=5 and overall missingness 0.00%."
luli756,3,9,9,"The student answered 57 items with medium accuracy (75.44% proportion correct). Their responses are moderate on average (mean response time 17.65 seconds) and stable in timing (response-time variance 147.63, coefficient of variation 0.69). They have a long longest correct streak (22 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.66). They have subject marks: S1=10, S2=30, S3=4, S5=5, S6=2 and overall missingness 0.00%."
guva627,1,6,9,"The student answered 57 items with medium accuracy (84.21% proportion correct). Their responses are moderate on average (mean response time 17.13 seconds) and stable in timing (response-time variance 148.57, coefficient of variation 0.71). They have a long longest correct streak (21 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75). They have subject marks: S1=13, S2=33, S3=5, S5=5, S6=3 and overall missingness 0.00%."
