IDCode,narrative_text
myzo000,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=moderate, consecutive_correct=occasional."
jygo886,"Behaviour summary: correct_level=low, speed=slow, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
dyzo734,"Behaviour summary: correct_level=low, speed=fast, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
ciky680,"Behaviour summary: correct_level=high, speed=slow, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
nopo152,"Behaviour summary: correct_level=low, speed=fast, timing_variability=stable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
tivy194,"Behaviour summary: correct_level=low, speed=fast, timing_variability=stable, correct_streak=short, incorrect_streak=short, consecutive_correct=rare."
biry098,"Behaviour summary: correct_level=low, speed=slow, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
tebo981,"Behaviour summary: correct_level=high, speed=fast, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
jyma323,"Behaviour summary: correct_level=medium, speed=fast, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=occasional."
cani065,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=occasional."
puxi257,"Behaviour summary: correct_level=low, speed=fast, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
jemy201,"Behaviour summary: correct_level=medium, speed=fast, timing_variability=stable, correct_streak=short, incorrect_streak=long, consecutive_correct=occasional."
woqa919,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=moderately variable, correct_streak=short, incorrect_streak=short, consecutive_correct=occasional."
huze427,"Behaviour summary: correct_level=low, speed=fast, timing_variability=stable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
jaxe723,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=stable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=frequent."
xamy676,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
lowy720,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=moderate, consecutive_correct=occasional."
mixa281,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
sipy389,"Behaviour summary: correct_level=low, speed=slow, timing_variability=stable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
bube109,"Behaviour summary: correct_level=medium, speed=moderate, timing_variability=moderately variable, correct_streak=short, incorrect_streak=moderate, consecutive_correct=occasional."
boqe999,"Behaviour summary: correct_level=high, speed=fast, timing_variability=stable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
guzo911,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=occasional."
guxe800,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=moderate, consecutive_correct=occasional."
dove442,"Behaviour summary: correct_level=medium, speed=moderate, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=occasional."
zivi062,"Behaviour summary: correct_level=low, speed=fast, timing_variability=stable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
lury747,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=moderately variable, correct_streak=short, incorrect_streak=moderate, consecutive_correct=rare."
tuve726,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=occasional."
vihu826,"Behaviour summary: correct_level=high, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=frequent."
hata313,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
hoki309,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
kyzy131,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
syti148,"Behaviour summary: correct_level=medium, speed=moderate, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=moderate, consecutive_correct=frequent."
syco853,"Behaviour summary: correct_level=high, speed=slow, timing_variability=highly variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
sefy975,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=stable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
jese656,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=frequent."
guge611,"Behaviour summary: correct_level=low, speed=slow, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
mesi806,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
sesi698,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
gopa505,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=long, incorrect_streak=long, consecutive_correct=occasional."
duwi894,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=occasional."
hasa034,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=short, consecutive_correct=rare."
pile112,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=highly variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
sivi804,"Behaviour summary: correct_level=low, speed=slow, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
maho931,"Behaviour summary: correct_level=low, speed=fast, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
waho571,"Behaviour summary: correct_level=low, speed=slow, timing_variability=stable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
mowy859,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
rihi168,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
siry766,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=moderate, consecutive_correct=occasional."
qefe646,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
zojo883,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=frequent."
dero258,"Behaviour summary: correct_level=high, speed=fast, timing_variability=stable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
mika525,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=stable, correct_streak=short, incorrect_streak=moderate, consecutive_correct=rare."
xohi599,"Behaviour summary: correct_level=high, speed=fast, timing_variability=stable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=frequent."
tebe135,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
naso669,"Behaviour summary: correct_level=low, speed=fast, timing_variability=stable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
qecu035,"Behaviour summary: correct_level=high, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=frequent."
zywy107,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=moderate, consecutive_correct=occasional."
cave700,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
nupy082,"Behaviour summary: correct_level=high, speed=fast, timing_variability=highly variable, correct_streak=long, incorrect_streak=moderate, consecutive_correct=frequent."
hoge626,"Behaviour summary: correct_level=high, speed=fast, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
nivo041,"Behaviour summary: correct_level=high, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=frequent."
karo919,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
vuhe805,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=occasional."
kebi083,"Behaviour summary: correct_level=medium, speed=fast, timing_variability=stable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=occasional."
faly535,"Behaviour summary: correct_level=low, speed=slow, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
gelo627,"Behaviour summary: correct_level=low, speed=fast, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
vili771,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
katu927,"Behaviour summary: correct_level=medium, speed=moderate, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=occasional."
xiza150,"Behaviour summary: correct_level=low, speed=fast, timing_variability=stable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
bevi590,"Behaviour summary: correct_level=high, speed=fast, timing_variability=stable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=frequent."
huve181,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
fite050,"Behaviour summary: correct_level=high, speed=fast, timing_variability=stable, correct_streak=long, incorrect_streak=long, consecutive_correct=frequent."
nysu060,"Behaviour summary: correct_level=high, speed=fast, timing_variability=stable, correct_streak=long, incorrect_streak=moderate, consecutive_correct=frequent."
kaho190,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=moderate, consecutive_correct=occasional."
lany944,"Behaviour summary: correct_level=high, speed=fast, timing_variability=stable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
maqu534,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=occasional."
wuga870,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=moderate, consecutive_correct=occasional."
wyva352,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=occasional."
hime464,"Behaviour summary: correct_level=medium, speed=moderate, timing_variability=stable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=occasional."
jexu775,"Behaviour summary: correct_level=medium, speed=moderate, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=occasional."
tuga736,"Behaviour summary: correct_level=low, speed=fast, timing_variability=moderately variable, correct_streak=short, incorrect_streak=moderate, consecutive_correct=rare."
hyfe498,"Behaviour summary: correct_level=low, speed=fast, timing_variability=stable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
bomo360,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=frequent."
lomo204,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
mipe544,"Behaviour summary: correct_level=medium, speed=fast, timing_variability=stable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=occasional."
hufy497,"Behaviour summary: correct_level=high, speed=fast, timing_variability=stable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
rapo919,"Behaviour summary: correct_level=medium, speed=fast, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=occasional."
gata076,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
muvo194,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
cywo537,"Behaviour summary: correct_level=medium, speed=moderate, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=occasional."
xamy327,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=occasional."
cogu074,"Behaviour summary: correct_level=high, speed=slow, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
rapo615,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
zady580,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
nujo284,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=short, consecutive_correct=occasional."
syzu625,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=long, incorrect_streak=long, consecutive_correct=occasional."
myte214,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=moderate, consecutive_correct=occasional."
tyzo440,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
vyzo298,"Behaviour summary: correct_level=high, speed=fast, timing_variability=stable, correct_streak=long, incorrect_streak=short, consecutive_correct=occasional."
hiwu589,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
sazy810,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
turi097,"Behaviour summary: correct_level=medium, speed=fast, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=occasional."
foji729,"Behaviour summary: correct_level=medium, speed=fast, timing_variability=stable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=occasional."
dexe201,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=moderately variable, correct_streak=short, incorrect_streak=short, consecutive_correct=frequent."
dosu709,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=long, incorrect_streak=long, consecutive_correct=frequent."
doxe392,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
culu497,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=occasional."
lije367,"Behaviour summary: correct_level=high, speed=slow, timing_variability=highly variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
vice024,"Behaviour summary: correct_level=high, speed=fast, timing_variability=stable, correct_streak=short, incorrect_streak=short, consecutive_correct=frequent."
kapy740,"Behaviour summary: correct_level=high, speed=slow, timing_variability=moderately variable, correct_streak=long, incorrect_streak=moderate, consecutive_correct=frequent."
vudi262,"Behaviour summary: correct_level=low, speed=fast, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
tuza510,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=moderately variable, correct_streak=short, incorrect_streak=moderate, consecutive_correct=rare."
tubo945,"Behaviour summary: correct_level=high, speed=fast, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
bofi323,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=moderately variable, correct_streak=long, incorrect_streak=long, consecutive_correct=occasional."
zeji633,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
bowo488,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
pipo687,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
core934,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=moderate, consecutive_correct=occasional."
dedu084,"Behaviour summary: correct_level=low, speed=slow, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=rare."
lowa532,"Behaviour summary: correct_level=low, speed=slow, timing_variability=moderately variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
zuha759,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
qafu966,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
lobo127,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=highly variable, correct_streak=long, incorrect_streak=long, consecutive_correct=occasional."
homa046,"Behaviour summary: correct_level=low, speed=slow, timing_variability=highly variable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
keno764,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=stable, correct_streak=short, incorrect_streak=long, consecutive_correct=rare."
habe142,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=moderate, consecutive_correct=occasional."
joti731,"Behaviour summary: correct_level=high, speed=fast, timing_variability=stable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
reve265,"Behaviour summary: correct_level=medium, speed=fast, timing_variability=stable, correct_streak=short, incorrect_streak=long, consecutive_correct=occasional."
cyca115,"Behaviour summary: correct_level=high, speed=fast, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
rawo522,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
pogi169,"Behaviour summary: correct_level=high, speed=slow, timing_variability=highly variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
vepi727,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=long, consecutive_correct=occasional."
risy585,"Behaviour summary: correct_level=low, speed=moderate, timing_variability=stable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=rare."
fefu774,"Behaviour summary: correct_level=high, speed=fast, timing_variability=stable, correct_streak=short, incorrect_streak=short, consecutive_correct=occasional."
wyxo615,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=frequent."
ciby707,"Behaviour summary: correct_level=high, speed=slow, timing_variability=highly variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
xuvy948,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=highly variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
ravy196,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
loge702,"Behaviour summary: correct_level=medium, speed=moderate, timing_variability=moderately variable, correct_streak=moderate, incorrect_streak=moderate, consecutive_correct=rare."
viry492,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=moderately variable, correct_streak=long, incorrect_streak=long, consecutive_correct=occasional."
gowa049,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=highly variable, correct_streak=long, incorrect_streak=short, consecutive_correct=occasional."
vyva107,"Behaviour summary: correct_level=medium, speed=moderate, timing_variability=stable, correct_streak=long, incorrect_streak=moderate, consecutive_correct=occasional."
duxo262,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=stable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
peto053,"Behaviour summary: correct_level=high, speed=fast, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
difi858,"Behaviour summary: correct_level=high, speed=fast, timing_variability=moderately variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
xoru423,"Behaviour summary: correct_level=medium, speed=slow, timing_variability=moderately variable, correct_streak=short, incorrect_streak=short, consecutive_correct=occasional."
wizy437,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=highly variable, correct_streak=moderate, incorrect_streak=short, consecutive_correct=frequent."
kuge219,"Behaviour summary: correct_level=high, speed=moderate, timing_variability=highly variable, correct_streak=long, incorrect_streak=short, consecutive_correct=frequent."
