IDCode,narrative_text
paxi044,Accuracy low; speed fast; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
sejy814,Accuracy high; speed fast; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
laze716,Accuracy medium; speed moderate; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
kojo378,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
tepu554,Accuracy high; speed moderate; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
dyva324,Accuracy low; speed moderate; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
pusu302,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
xamy888,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak moderate; consecutive correct rare.
ninu744,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
punu537,Accuracy medium; speed fast; timing stable; correct streak moderate; incorrect streak long; consecutive correct occasional.
zufa556,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
losy787,Accuracy low; speed slow; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct rare.
fuxa711,Accuracy low; speed moderate; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
myzo000,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
jygo886,Accuracy low; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
dyzo734,Accuracy low; speed fast; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
ciky680,Accuracy high; speed slow; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
nopo152,Accuracy low; speed fast; timing stable; correct streak moderate; incorrect streak long; consecutive correct rare.
tivy194,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak short; consecutive correct rare.
biry098,Accuracy low; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
tebo981,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
jyma323,Accuracy medium; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct occasional.
cani065,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct occasional.
puxi257,Accuracy low; speed fast; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
jemy201,Accuracy medium; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct occasional.
woqa919,Accuracy medium; speed slow; timing moderately variable; correct streak short; incorrect streak short; consecutive correct occasional.
huze427,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
jaxe723,Accuracy high; speed moderate; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
xamy676,Accuracy low; speed moderate; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
lowy720,Accuracy medium; speed slow; timing highly variable; correct streak short; incorrect streak moderate; consecutive correct occasional.
mixa281,Accuracy low; speed moderate; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct rare.
sipy389,Accuracy low; speed slow; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
bube109,Accuracy medium; speed moderate; timing moderately variable; correct streak short; incorrect streak moderate; consecutive correct occasional.
boqe999,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
guzo911,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
guxe800,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
dove442,Accuracy medium; speed moderate; timing highly variable; correct streak short; incorrect streak long; consecutive correct occasional.
zivi062,Accuracy low; speed fast; timing stable; correct streak moderate; incorrect streak long; consecutive correct rare.
lury747,Accuracy low; speed moderate; timing moderately variable; correct streak short; incorrect streak moderate; consecutive correct rare.
tuve726,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
vihu826,Accuracy high; speed slow; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
hata313,Accuracy low; speed moderate; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct rare.
hoki309,Accuracy low; speed moderate; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
kyzy131,Accuracy low; speed moderate; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
syti148,Accuracy medium; speed moderate; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct frequent.
syco853,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
sefy975,Accuracy low; speed moderate; timing stable; correct streak moderate; incorrect streak long; consecutive correct rare.
jese656,Accuracy high; speed moderate; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
guge611,Accuracy low; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
mesi806,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
sesi698,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
gopa505,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak long; consecutive correct occasional.
duwi894,Accuracy high; speed moderate; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
hasa034,Accuracy medium; speed slow; timing highly variable; correct streak short; incorrect streak short; consecutive correct rare.
pile112,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
sivi804,Accuracy low; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
maho931,Accuracy low; speed fast; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct rare.
waho571,Accuracy low; speed slow; timing stable; correct streak moderate; incorrect streak long; consecutive correct rare.
mowy859,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
rihi168,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
siry766,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
qefe646,Accuracy low; speed moderate; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
zojo883,Accuracy high; speed moderate; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
dero258,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
mika525,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak moderate; consecutive correct rare.
xohi599,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
tebe135,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
naso669,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
qecu035,Accuracy high; speed slow; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
zywy107,Accuracy medium; speed slow; timing highly variable; correct streak short; incorrect streak moderate; consecutive correct occasional.
cave700,Accuracy low; speed moderate; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
nupy082,Accuracy high; speed fast; timing highly variable; correct streak long; incorrect streak moderate; consecutive correct frequent.
hoge626,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
nivo041,Accuracy high; speed slow; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
karo919,Accuracy low; speed moderate; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
vuhe805,Accuracy medium; speed slow; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
kebi083,Accuracy medium; speed fast; timing stable; correct streak moderate; incorrect streak long; consecutive correct occasional.
faly535,Accuracy low; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
gelo627,Accuracy low; speed fast; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
vili771,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
katu927,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
xiza150,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
bevi590,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
huve181,Accuracy low; speed moderate; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
fite050,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak long; consecutive correct frequent.
nysu060,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak moderate; consecutive correct frequent.
kaho190,Accuracy medium; speed slow; timing highly variable; correct streak short; incorrect streak moderate; consecutive correct occasional.
lany944,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
maqu534,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
wuga870,Accuracy medium; speed slow; timing highly variable; correct streak short; incorrect streak moderate; consecutive correct occasional.
wyva352,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
hime464,Accuracy medium; speed moderate; timing stable; correct streak moderate; incorrect streak short; consecutive correct occasional.
jexu775,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
tuga736,Accuracy low; speed fast; timing moderately variable; correct streak short; incorrect streak moderate; consecutive correct rare.
hyfe498,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
bomo360,Accuracy high; speed moderate; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
lomo204,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
mipe544,Accuracy medium; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct occasional.
hufy497,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
rapo919,Accuracy medium; speed fast; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
gata076,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
muvo194,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
cywo537,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
xamy327,Accuracy low; speed slow; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
cogu074,Accuracy high; speed slow; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
rapo615,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
zady580,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
nujo284,Accuracy medium; speed slow; timing highly variable; correct streak short; incorrect streak short; consecutive correct occasional.
syzu625,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak long; consecutive correct occasional.
myte214,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
tyzo440,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
vyzo298,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct occasional.
hiwu589,Accuracy medium; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
sazy810,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
turi097,Accuracy medium; speed fast; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
foji729,Accuracy medium; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct occasional.
dexe201,Accuracy high; speed moderate; timing moderately variable; correct streak short; incorrect streak short; consecutive correct frequent.
dosu709,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak long; consecutive correct frequent.
doxe392,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
culu497,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
lije367,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
vice024,Accuracy high; speed fast; timing stable; correct streak short; incorrect streak short; consecutive correct frequent.
kapy740,Accuracy high; speed slow; timing moderately variable; correct streak long; incorrect streak moderate; consecutive correct frequent.
vudi262,Accuracy low; speed fast; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
tuza510,Accuracy low; speed moderate; timing moderately variable; correct streak short; incorrect streak moderate; consecutive correct rare.
tubo945,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
bofi323,Accuracy medium; speed slow; timing moderately variable; correct streak long; incorrect streak long; consecutive correct occasional.
zeji633,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
bowo488,Accuracy low; speed slow; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct rare.
pipo687,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
core934,Accuracy medium; speed slow; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
dedu084,Accuracy low; speed slow; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct rare.
lowa532,Accuracy low; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
zuha759,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
qafu966,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
lobo127,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak long; consecutive correct occasional.
homa046,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
keno764,Accuracy low; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
habe142,Accuracy medium; speed slow; timing moderately variable; correct streak moderate; incorrect streak moderate; consecutive correct occasional.
joti731,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
reve265,Accuracy medium; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct occasional.
cyca115,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
rawo522,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
pogi169,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
vepi727,Accuracy medium; speed slow; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
risy585,Accuracy low; speed moderate; timing stable; correct streak moderate; incorrect streak short; consecutive correct rare.
fefu774,Accuracy high; speed fast; timing stable; correct streak short; incorrect streak short; consecutive correct occasional.
wyxo615,Accuracy high; speed moderate; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
ciby707,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
xuvy948,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
ravy196,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
loge702,Accuracy medium; speed moderate; timing moderately variable; correct streak moderate; incorrect streak moderate; consecutive correct rare.
viry492,Accuracy medium; speed slow; timing moderately variable; correct streak long; incorrect streak long; consecutive correct occasional.
gowa049,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak short; consecutive correct occasional.
vyva107,Accuracy medium; speed moderate; timing stable; correct streak long; incorrect streak moderate; consecutive correct occasional.
duxo262,Accuracy high; speed moderate; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
peto053,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
difi858,Accuracy high; speed fast; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
xoru423,Accuracy medium; speed slow; timing moderately variable; correct streak short; incorrect streak short; consecutive correct occasional.
wizy437,Accuracy high; speed moderate; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
kuge219,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
hazu473,Accuracy medium; speed slow; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct occasional.
gono087,Accuracy medium; speed slow; timing highly variable; correct streak short; incorrect streak short; consecutive correct occasional.
vury347,Accuracy medium; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct occasional.
copo281,Accuracy low; speed fast; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
heda014,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
powu461,Accuracy high; speed slow; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
peqa279,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
lufy687,Accuracy low; speed moderate; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
koze985,Accuracy high; speed slow; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
hadi890,Accuracy medium; speed moderate; timing stable; correct streak moderate; incorrect streak long; consecutive correct occasional.
recu163,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
xyzi642,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
nejy388,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
tezy480,Accuracy medium; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct occasional.
nawu690,Accuracy medium; speed moderate; timing moderately variable; correct streak long; incorrect streak long; consecutive correct frequent.
mofe780,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
nily317,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
roho333,Accuracy low; speed slow; timing highly variable; correct streak moderate; incorrect streak long; consecutive correct rare.
xime971,Accuracy low; speed moderate; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
muqo157,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak long; consecutive correct rare.
riby296,Accuracy medium; speed moderate; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
pala257,Accuracy medium; speed slow; timing moderately variable; correct streak long; incorrect streak moderate; consecutive correct occasional.
tuby409,Accuracy medium; speed fast; timing moderately variable; correct streak long; incorrect streak long; consecutive correct frequent.
hoxo855,Accuracy low; speed slow; timing highly variable; correct streak short; incorrect streak moderate; consecutive correct rare.
qixy634,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
niri091,Accuracy medium; speed moderate; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
lazi600,Accuracy high; speed moderate; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
qedo478,Accuracy low; speed moderate; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct rare.
ruhu758,Accuracy high; speed slow; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
cima563,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
lyzy104,Accuracy medium; speed slow; timing highly variable; correct streak short; incorrect streak short; consecutive correct rare.
xafy802,Accuracy medium; speed slow; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
bacy598,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
kexi927,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
cumo221,Accuracy high; speed moderate; timing moderately variable; correct streak long; incorrect streak short; consecutive correct occasional.
kami789,Accuracy low; speed moderate; timing moderately variable; correct streak short; incorrect streak short; consecutive correct rare.
zoko875,Accuracy high; speed moderate; timing stable; correct streak moderate; incorrect streak long; consecutive correct frequent.
sina926,Accuracy medium; speed fast; timing stable; correct streak long; incorrect streak moderate; consecutive correct frequent.
fise899,Accuracy medium; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct occasional.
cija437,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
manu258,Accuracy medium; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
zuwa573,Accuracy high; speed moderate; timing moderately variable; correct streak moderate; incorrect streak moderate; consecutive correct frequent.
joxi410,Accuracy low; speed slow; timing moderately variable; correct streak short; incorrect streak long; consecutive correct rare.
muta539,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
reqy562,Accuracy high; speed slow; timing moderately variable; correct streak long; incorrect streak short; consecutive correct frequent.
doxe492,Accuracy high; speed slow; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
gylu244,Accuracy low; speed moderate; timing stable; correct streak moderate; incorrect streak long; consecutive correct rare.
maxy370,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak moderate; consecutive correct frequent.
ryko512,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
kula014,Accuracy high; speed slow; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
jeqy595,Accuracy low; speed moderate; timing moderately variable; correct streak moderate; incorrect streak long; consecutive correct rare.
guva627,Accuracy high; speed moderate; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
lohy238,Accuracy high; speed moderate; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
cobi870,Accuracy low; speed moderate; timing moderately variable; correct streak long; incorrect streak long; consecutive correct occasional.
giki066,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
hywy001,Accuracy medium; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct occasional.
feji918,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak moderate; consecutive correct frequent.
luli756,Accuracy medium; speed moderate; timing stable; correct streak long; incorrect streak moderate; consecutive correct frequent.
wumu083,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak short; consecutive correct frequent.
cyga680,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak moderate; consecutive correct frequent.
buvy316,Accuracy medium; speed slow; timing highly variable; correct streak short; incorrect streak moderate; consecutive correct occasional.
rejy122,Accuracy high; speed slow; timing highly variable; correct streak long; incorrect streak moderate; consecutive correct frequent.
dusi300,Accuracy high; speed slow; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
howe436,Accuracy high; speed slow; timing highly variable; correct streak moderate; incorrect streak short; consecutive correct frequent.
ropi792,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
jemy300,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
qexo432,Accuracy medium; speed moderate; timing stable; correct streak moderate; incorrect streak short; consecutive correct occasional.
kyso927,Accuracy high; speed fast; timing moderately variable; correct streak short; incorrect streak short; consecutive correct frequent.
cozi663,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
vani542,Accuracy medium; speed fast; timing moderately variable; correct streak moderate; incorrect streak short; consecutive correct occasional.
kaxu871,Accuracy high; speed moderate; timing highly variable; correct streak moderate; incorrect streak moderate; consecutive correct frequent.
moku835,Accuracy high; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct frequent.
cahe192,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
feso129,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak moderate; consecutive correct frequent.
tufa140,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
zigi489,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak moderate; consecutive correct rare.
dahi696,Accuracy high; speed fast; timing stable; correct streak long; incorrect streak short; consecutive correct frequent.
quhe482,Accuracy low; speed fast; timing stable; correct streak short; incorrect streak long; consecutive correct rare.
taxa827,Accuracy medium; speed fast; timing stable; correct streak moderate; incorrect streak short; consecutive correct occasional.
vuga321,Accuracy medium; speed moderate; timing stable; correct streak short; incorrect streak short; consecutive correct occasional.
