IDCode,gmm_bic_best_label,gmm_aic_best_label,narrative_best_label,narrative_text
puca767,3,0,2,"The student answered 57 items with medium accuracy (0.74 proportion correct). Their responses are slow on average (mean response time 20.40 seconds) and highly variable in timing (response-time variance 389.29, coefficient of variation 0.97). They have a moderate longest correct streak (13 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55)."
lusi512,0,5,2,"The student answered 57 items with medium accuracy (0.68 proportion correct). Their responses are slow on average (mean response time 23.41 seconds) and highly variable in timing (response-time variance 346.85, coefficient of variation 0.80). They have a moderate longest correct streak (12 in a row) and a long longest incorrect streak (8 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.57)."
guzo911,0,0,2,"The student answered 57 items with medium accuracy (0.72 proportion correct). Their responses are slow on average (mean response time 24.17 seconds) and highly variable in timing (response-time variance 454.28, coefficient of variation 0.88). They have a moderate longest correct streak (12 in a row) and a long longest incorrect streak (10 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.64)."
zywy107,0,5,2,"The student answered 57 items with medium accuracy (0.67 proportion correct). Their responses are slow on average (mean response time 20.81 seconds) and highly variable in timing (response-time variance 414.53, coefficient of variation 0.98). They have a short longest correct streak (11 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.52)."
pino324,5,7,2,"The student answered 57 items with medium accuracy (0.72 proportion correct). Their responses are slow on average (mean response time 27.58 seconds) and highly variable in timing (response-time variance 954.72, coefficient of variation 1.12). They have a moderate longest correct streak (15 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.59)."
bihi184,2,1,3,"The student answered 57 items with low accuracy (0.18 proportion correct). Their responses are fast on average (mean response time 12.84 seconds) and stable in timing (response-time variance 141.88, coefficient of variation 0.93). They have a short longest correct streak (5 in a row) and a long longest incorrect streak (36 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.11)."
bacy598,2,1,3,"The student answered 57 items with low accuracy (0.25 proportion correct). Their responses are fast on average (mean response time 7.37 seconds) and stable in timing (response-time variance 108.91, coefficient of variation 1.42). They have a short longest correct streak (6 in a row) and a long longest incorrect streak (13 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.12)."
nuhi137,4,4,3,"The student answered 57 items with low accuracy (0.53 proportion correct). Their responses are fast on average (mean response time 13.85 seconds) and stable in timing (response-time variance 95.40, coefficient of variation 0.71). They have a short longest correct streak (9 in a row) and a long longest incorrect streak (6 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.36)."
kojo378,4,4,3,"The student answered 57 items with low accuracy (0.46 proportion correct). Their responses are fast on average (mean response time 13.20 seconds) and stable in timing (response-time variance 110.96, coefficient of variation 0.80). They have a short longest correct streak (5 in a row) and a long longest incorrect streak (12 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.27)."
peqo117,2,1,3,"The student answered 57 items with low accuracy (0.18 proportion correct). Their responses are fast on average (mean response time 14.41 seconds) and stable in timing (response-time variance 134.97, coefficient of variation 0.81). They have a short longest correct streak (4 in a row) and a long longest incorrect streak (37 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.09)."
buby593,3,6,4,"The student answered 57 items with high accuracy (0.81 proportion correct). Their responses are fast on average (mean response time 12.67 seconds) and stable in timing (response-time variance 115.36, coefficient of variation 0.85). They have a long longest correct streak (26 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.68)."
lany944,1,2,4,"The student answered 57 items with high accuracy (0.91 proportion correct). Their responses are fast on average (mean response time 10.48 seconds) and stable in timing (response-time variance 62.83, coefficient of variation 0.76). They have a long longest correct streak (44 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.88)."
kyqu130,3,6,4,"The student answered 57 items with high accuracy (0.82 proportion correct). Their responses are fast on average (mean response time 12.29 seconds) and stable in timing (response-time variance 116.73, coefficient of variation 0.88). They have a long longest correct streak (18 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.73)."
posy537,1,2,4,"The student answered 57 items with high accuracy (0.86 proportion correct). Their responses are fast on average (mean response time 11.43 seconds) and stable in timing (response-time variance 113.63, coefficient of variation 0.93). They have a long longest correct streak (23 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75)."
cahe192,1,6,4,"The student answered 57 items with high accuracy (0.84 proportion correct). Their responses are fast on average (mean response time 12.19 seconds) and stable in timing (response-time variance 126.33, coefficient of variation 0.92). They have a long longest correct streak (42 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.79)."
kyzy131,4,4,5,"The student answered 57 items with low accuracy (0.53 proportion correct). Their responses are moderate on average (mean response time 18.32 seconds) and moderately variable in timing (response-time variance 228.06, coefficient of variation 0.82). They have a short longest correct streak (8 in a row) and a long longest incorrect streak (7 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.34)."
huve181,4,4,5,"The student answered 57 items with low accuracy (0.58 proportion correct). Their responses are moderate on average (mean response time 18.86 seconds) and moderately variable in timing (response-time variance 296.10, coefficient of variation 0.91). They have a short longest correct streak (5 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.36)."
biku776,0,5,5,"The student answered 57 items with low accuracy (0.65 proportion correct). Their responses are moderate on average (mean response time 18.90 seconds) and highly variable in timing (response-time variance 470.02, coefficient of variation 1.15). They have a short longest correct streak (8 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.46)."
cupe992,2,1,5,"The student answered 57 items with low accuracy (0.32 proportion correct). Their responses are moderate on average (mean response time 17.96 seconds) and moderately variable in timing (response-time variance 229.44, coefficient of variation 0.84). They have a short longest correct streak (7 in a row) and a long longest incorrect streak (11 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.18)."
karo919,4,4,5,"The student answered 57 items with low accuracy (0.44 proportion correct). Their responses are moderate on average (mean response time 16.25 seconds) and moderately variable in timing (response-time variance 255.81, coefficient of variation 0.98). They have a short longest correct streak (6 in a row) and a long longest incorrect streak (9 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.30)."
katu927,3,9,6,"The student answered 57 items with medium accuracy (0.75 proportion correct). Their responses are moderate on average (mean response time 17.32 seconds) and moderately variable in timing (response-time variance 188.16, coefficient of variation 0.79). They have a moderate longest correct streak (13 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.61)."
loby351,0,9,6,"The student answered 57 items with medium accuracy (0.72 proportion correct). Their responses are moderate on average (mean response time 16.74 seconds) and moderately variable in timing (response-time variance 159.30, coefficient of variation 0.75). They have a moderate longest correct streak (17 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.62)."
mybu425,0,8,6,"The student answered 57 items with medium accuracy (0.68 proportion correct). Their responses are moderate on average (mean response time 16.76 seconds) and highly variable in timing (response-time variance 505.04, coefficient of variation 1.34). They have a moderate longest correct streak (13 in a row) and a long longest incorrect streak (6 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55)."
tiro932,3,0,6,"The student answered 57 items with medium accuracy (0.75 proportion correct). Their responses are moderate on average (mean response time 16.57 seconds) and moderately variable in timing (response-time variance 232.26, coefficient of variation 0.92). They have a moderate longest correct streak (15 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.59)."
ryzo168,3,9,6,"The student answered 57 items with medium accuracy (0.74 proportion correct). Their responses are moderate on average (mean response time 14.71 seconds) and moderately variable in timing (response-time variance 156.00, coefficient of variation 0.85). They have a moderate longest correct streak (16 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55)."
reqy562,1,2,7,"The student answered 57 items with high accuracy (0.89 proportion correct). Their responses are slow on average (mean response time 20.81 seconds) and moderately variable in timing (response-time variance 215.30, coefficient of variation 0.71). They have a long longest correct streak (26 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.80)."
ciky680,3,6,7,"The student answered 57 items with high accuracy (0.82 proportion correct). Their responses are slow on average (mean response time 21.88 seconds) and moderately variable in timing (response-time variance 176.86, coefficient of variation 0.61). They have a long longest correct streak (20 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71)."
feji918,3,0,7,"The student answered 57 items with high accuracy (0.79 proportion correct). Their responses are slow on average (mean response time 22.46 seconds) and highly variable in timing (response-time variance 483.72, coefficient of variation 0.98). They have a long longest correct streak (34 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70)."
ruhu758,1,6,7,"The student answered 57 items with high accuracy (0.84 proportion correct). Their responses are slow on average (mean response time 20.51 seconds) and moderately variable in timing (response-time variance 220.97, coefficient of variation 0.72). They have a long longest correct streak (23 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71)."
safu128,1,2,7,"The student answered 57 items with high accuracy (0.88 proportion correct). Their responses are slow on average (mean response time 23.33 seconds) and moderately variable in timing (response-time variance 298.45, coefficient of variation 0.74). They have a long longest correct streak (32 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.80)."
punu537,0,5,8,"The student answered 57 items with medium accuracy (0.67 proportion correct). Their responses are fast on average (mean response time 12.13 seconds) and stable in timing (response-time variance 95.69, coefficient of variation 0.81). They have a moderate longest correct streak (12 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.54)."
tezy480,3,9,8,"The student answered 57 items with medium accuracy (0.75 proportion correct). Their responses are fast on average (mean response time 11.21 seconds) and stable in timing (response-time variance 75.93, coefficient of variation 0.78). They have a moderate longest correct streak (15 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.59)."
weru214,3,9,8,"The student answered 57 items with medium accuracy (0.77 proportion correct). Their responses are fast on average (mean response time 14.31 seconds) and stable in timing (response-time variance 108.65, coefficient of variation 0.73). They have a moderate longest correct streak (12 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.62)."
dasy955,0,9,8,"The student answered 57 items with medium accuracy (0.70 proportion correct). Their responses are fast on average (mean response time 13.76 seconds) and stable in timing (response-time variance 118.45, coefficient of variation 0.79). They have a moderate longest correct streak (14 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.52)."
xori482,0,0,8,"The student answered 57 items with medium accuracy (0.72 proportion correct). Their responses are fast on average (mean response time 9.78 seconds) and stable in timing (response-time variance 117.53, coefficient of variation 1.11). They have a moderate longest correct streak (14 in a row) and a long longest incorrect streak (6 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.62)."
hime464,0,9,9,"The student answered 57 items with medium accuracy (0.72 proportion correct). Their responses are moderate on average (mean response time 15.28 seconds) and stable in timing (response-time variance 154.72, coefficient of variation 0.81). They have a moderate longest correct streak (12 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.59)."
hadi890,3,9,9,"The student answered 57 items with medium accuracy (0.74 proportion correct). Their responses are moderate on average (mean response time 17.19 seconds) and stable in timing (response-time variance 130.86, coefficient of variation 0.67). They have a moderate longest correct streak (16 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.61)."
togu404,3,9,9,"The student answered 57 items with medium accuracy (0.77 proportion correct). Their responses are moderate on average (mean response time 18.22 seconds) and stable in timing (response-time variance 132.57, coefficient of variation 0.63). They have a long longest correct streak (18 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.64)."
vyva107,3,9,9,"The student answered 57 items with medium accuracy (0.75 proportion correct). Their responses are moderate on average (mean response time 15.78 seconds) and stable in timing (response-time variance 129.24, coefficient of variation 0.72). They have a long longest correct streak (26 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.62)."
qexo432,3,9,9,"The student answered 57 items with medium accuracy (0.77 proportion correct). Their responses are moderate on average (mean response time 16.01 seconds) and stable in timing (response-time variance 149.22, coefficient of variation 0.76). They have a moderate longest correct streak (14 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.64)."
